#DMCNumber , Description , Red , Green , Blue , Hex
3716 , Dusty Rose - VY LT , 255 , 211 , 212 , 0xFFD3D4
3713 , Salmon - VY LT , 253 , 229 , 217 , 0xFDE5D9
3712 , Salmon - MED , 230 , 101 , 107 , 0xE6656B
3708 , Melon - LT , 254 , 212 , 219 , 0xFED4DB
3706 , Melon - MED , 255 , 128 , 109 , 0xFF806D
3705 , Melon - DK , 255 , 85 , 91 , 0xFF555B
3689 , Mauve - LT , 255 , 213 , 216 , 0xFFD5D8
3688 , Mauve - MED , 250 , 151 , 144 , 0xFA9790
3687 , Mauve , 203 , 78 , 97 , 0xCB4E61
3685 , Mauve - DK , 161 , 53 , 79 , 0xA1354F
3609 , Plum - ULT LT , 255 , 214 , 229 , 0xFFD6E5
3608 , Plum - VY LT , 247 , 152 , 182 , 0xF798B6
3607 , Plum - LT , 231 , 79 , 134 , 0xE74F86
3371 , Black Brown , 83 , 37 , 16 , 0x532510
3364 , Pine Green , 161 , 167 , 135 , 0xA1A787
3363 , Pine Green - MED , 116 , 127 , 96 , 0x747F60
3362 , Pine Green - DK , 96 , 95 , 84 , 0x605F54
3354 , Dusty Rose - LT , 255 , 214 , 209 , 0xFFD6D1
3350 , Dusty Rose - ULT DK , 201 , 79 , 91 , 0xC94F5B
3825 , Pumpkin - PALE , 255 , 171 , 131 , 0xFFAB83
3824 , Apricot - LT , 247 , 191 , 183 , 0xF7BFB7
3823 , Yellow - ULT PALE , 255 , 251 , 227 , 0xFFFBE3
3822 , Straw - LT , 255 , 211 , 107 , 0xFFD36B
3821 , Straw , 243 , 195 , 91 , 0xF3C35B
3820 , Straw - DK , 231 , 179 , 75 , 0xE7B34B
3819 , Moss Green - LT , 231 , 235 , 123 , 0xE7EB7B
3818 , Emerald Green - ULT VY DK , 0 , 107 , 46 , 0x006B2F
3817 , Celadon Green - LT , 175 , 207 , 191 , 0xAFCFBF
3816 , Celadon Green , 135 , 167 , 147 , 0x87A793
3815 , Celadon Green - DK , 99 , 127 , 107 , 0x637F6B
3814 , Aquamarine , 35 , 143 , 107 , 0x238F6B
3813 , Blue Green - LT , 151 , 195 , 171 , 0x97C3AB
3812 , Sea Green - VY DK , 23 , 147 , 119 , 0x179377
3811 , Turquoise - VY LT , 187 , 227 , 235 , 0xBBE3EB
3810 , Turquoise - DK , 59 , 135 , 151 , 0x3B8797
3809 , Turquoise - VY DK , 31 , 107 , 123 , 0x1F6B7B
3808 , Turquoise - ULT VY DK , 11 , 83 , 95 , 0x0B535F
3807 , Cornflower Blue , 59 , 75 , 131 , 0x3B4B83
3806 , Cyclamen Pink - LT , 255 , 87 , 155 , 0xFF579B
3805 , Cyclamen Pink , 243 , 71 , 139 , 0xF3478B
3804 , Cyclamen Pink - DK , 231 , 59 , 127 , 0xE73B7F
3803 , Mauve - MED , 171 , 51 , 87 , 0xAB3357
3802 , Antique Mauve - VY DK , 127 , 43 , 59 , 0x7F2B3B
3801 , Christmas Red - LT , 231 , 71 , 79 , 0xE7474F
3799 , Pewter Grey - VY DK , 81 , 76 , 83 , 0x514C53
3790 , Beige Grey - ULT DK , 140 , 117 , 109 , 0x8C756D
3787 , Brown Grey - DK , 139 , 109 , 115 , 0x8B6D73
3782 , Mocha Brown - LT , 206 , 175 , 144 , 0xCEAF90
3781 , Mocha Brown - DK , 113 , 71 , 42 , 0x71472A
3779 , Terracotta - ULT VY LT , 255 , 177 , 152 , 0xFFB198
3778 , Terracotta - LT , 237 , 122 , 100 , 0xED7A64
3777 , Terracotta - VY DK , 191 , 64 , 36 , 0xBF4024
3776 , Mahogany - LT , 221 , 109 , 91 , 0xDD6D5B
3774 , Sportsman Flesh - VY LT , 255 , 220 , 193 , 0xFFDCC1
3773 , Sportsman Flesh - MED *** , 231 , 134 , 103 , 0xE78667
3772 , Dark Flesh , 173 , 83 , 62 , 0xAD533E
3771 , Peach - DK +++ , 232 , 172 , 155 , 0xE8AC9B
3770 , Light Flesh - VY LT , 255 , 250 , 224 , 0xFFFAE0
9999 , Bright White , 255 , 255 , 255 , 0xFFFFFF
3866 , Mocha Brown - ULT VY LT , 245 , 233 , 213 , 0xF5E9D5
3865 , Winter White , 255 , 251 , 244 , 0xFFFBF4
3864 , Mocha Beige - LT , 196 , 166 , 141 , 0xC4A68D
3863 , Mocha Beige - MED , 134 , 106 , 88 , 0x866A58
3862 , Mocha Beige - DK , 107 , 83 , 71 , 0x6B5347
3861 , Cocoa - LT , 146 , 121 , 120 , 0x927978
3860 , Cocoa , 98 , 77 , 76 , 0x624D4C
3859 , Rosewood - LT , 177 , 114 , 106 , 0xB1726A
3858 , Rosewood - MED , 102 , 63 , 65 , 0x663F41
3857 , Rosewood - DK , 72 , 43 , 47 , 0x482B2F
3856 , Mahogany - ULT VY LT , 255 , 190 , 130 , 0xFFBE82
3855 , Autumn Gold - LT , 253 , 228 , 174 , 0xFDE4AE
3854 , Autumn Gold - MED , 248 , 171 , 99 , 0xF8AB63
3853 , Autumn Gold - DK , 229 , 121 , 75 , 0xE5794B
3852 , Straw - VY DK , 220 , 163 , 59 , 0xDCA33B
